County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas_overall,Pct_hispanic_among_movers,N_hispanic_movers_weighted,N_nonhispanic_movers_weighted,Pct_born_in_Texas_among_hispanic,Pct_born_in_Texas_among_nonhispanic
Tarrant (Fort Worth),2023,31-40 (Established Career),52047,41.8,22.3,11605,40442,35.1,43.7
Tarrant (Fort Worth),2012,41-50 (Family / Peak Career),34450,40.3,100.0,34450,0,40.3,
Tarrant (Fort Worth),2013,41-50 (Family / Peak Career),41625,42.0,100.0,41625,0,42.0,
Tarrant (Fort Worth),2014,41-50 (Family / Peak Career),32212,40.4,100.0,32212,0,40.4,
Tarrant (Fort Worth),2015,41-50 (Family / Peak Career),35057,38.3,100.0,35057,0,38.3,
Tarrant (Fort Worth),2016,41-50 (Family / Peak Career),36836,38.5,100.0,36836,0,38.5,
Tarrant (Fort Worth),2017,41-50 (Family / Peak Career),42641,38.9,100.0,42641,0,38.9,
Tarrant (Fort Worth),2018,41-50 (Family / Peak Career),32686,37.2,100.0,32686,0,37.2,
Tarrant (Fort Worth),2019,41-50 (Family / Peak Career),26771,43.5,100.0,26771,0,43.5,
Tarrant (Fort Worth),2021,41-50 (Family / Peak Career),26821,28.5,22.1,5933,20888,15.8,32.1
Tarrant (Fort Worth),2022,41-50 (Family / Peak Career),25763,34.5,26.5,6824,18939,27.6,36.9
Tarrant (Fort Worth),2023,41-50 (Family / Peak Career),30875,34.9,28.0,8638,22237,28.8,37.3
Tarrant (Fort Worth),2012,51-64 (Pre-Retirement),28545,43.1,100.0,28545,0,43.1,
Tarrant (Fort Worth),2013,51-64 (Pre-Retirement),29637,43.7,100.0,29637,0,43.7,
Tarrant (Fort Worth),2014,51-64 (Pre-Retirement),29084,37.7,100.0,29084,0,37.7,
Tarrant (Fort Worth),2015,51-64 (Pre-Retirement),29205,36.3,100.0,29205,0,36.3,
Tarrant (Fort Worth),2016,51-64 (Pre-Retirement),32506,39.3,100.0,32506,0,39.3,
Tarrant (Fort Worth),2017,51-64 (Pre-Retirement),32282,38.7,100.0,32282,0,38.7,
Tarrant (Fort Worth),2018,51-64 (Pre-Retirement),32413,36.1,100.0,32413,0,36.1,
Tarrant (Fort Worth),2019,51-64 (Pre-Retirement),33268,36.6,100.0,33268,0,36.6,
Tarrant (Fort Worth),2021,51-64 (Pre-Retirement),26507,35.5,24.4,6472,20035,31.1,37.0
Tarrant (Fort Worth),2022,51-64 (Pre-Retirement),28504,34.7,15.9,4536,23968,33.9,34.8
Tarrant (Fort Worth),2023,51-64 (Pre-Retirement),26012,27.6,29.0,7541,18471,14.4,33.0
Tarrant (Fort Worth),2012,65+ (Retirement),12789,36.2,100.0,12789,0,36.2,
Tarrant (Fort Worth),2013,65+ (Retirement),15740,48.3,100.0,15740,0,48.3,
Tarrant (Fort Worth),2014,65+ (Retirement),15218,41.1,100.0,15218,0,41.1,
Tarrant (Fort Worth),2015,65+ (Retirement),16230,38.3,100.0,16230,0,38.3,
Tarrant (Fort Worth),2016,65+ (Retirement),18928,52.4,100.0,18928,0,52.4,
Tarrant (Fort Worth),2017,65+ (Retirement),18589,37.5,100.0,18589,0,37.5,
Tarrant (Fort Worth),2018,65+ (Retirement),21481,44.2,100.0,21481,0,44.2,
Tarrant (Fort Worth),2019,65+ (Retirement),16076,38.4,100.0,16076,0,38.4,
Tarrant (Fort Worth),2021,65+ (Retirement),12112,36.4,20.0,2424,9688,19.8,40.5
Tarrant (Fort Worth),2022,65+ (Retirement),16367,44.6,13.0,2123,14244,35.7,46.0
Tarrant (Fort Worth),2023,65+ (Retirement),15408,50.8,16.7,2567,12841,54.0,50.1
Travis (Austin),2012,18-24 (College / Entry),64286,56.4,100.0,64286,0,56.4,
Travis (Austin),2013,18-24 (College / Entry),54956,58.3,100.0,54956,0,58.3,
Travis (Austin),2014,18-24 (College / Entry),45741,61.5,100.0,45741,0,61.5,
Travis (Austin),2015,18-24 (College / Entry),40496,62.3,100.0,40496,0,62.3,
Travis (Austin),2016,18-24 (College / Entry),46114,57.9,100.0,46114,0,57.9,
Travis (Austin),2017,18-24 (College / Entry),44636,57.1,100.0,44636,0,57.1,
Travis (Austin),2018,18-24 (College / Entry),45622,59.7,100.0,45622,0,59.7,
Travis (Austin),2019,18-24 (College / Entry),45296,55.8,100.0,45296,0,55.8,
Travis (Austin),2021,18-24 (College / Entry),52566,48.1,35.5,18652,33914,47.7,48.3
Travis (Austin),2022,18-24 (College / Entry),52256,55.3,34.0,17789,34467,72.5,46.4
Travis (Austin),2023,18-24 (College / Entry),51209,47.6,31.3,16016,35193,48.2,47.4
Travis (Austin),2012,25-30 (Young Adults),53818,50.1,100.0,53818,0,50.1,
Travis (Austin),2013,25-30 (Young Adults),55092,48.3,100.0,55092,0,48.3,
Travis (Austin),2014,25-30 (Young Adults),53695,38.8,100.0,53695,0,38.8,
Travis (Austin),2015,25-30 (Young Adults),51517,34.0,100.0,51517,0,34.0,
Travis (Austin),2016,25-30 (Young Adults),49096,39.2,100.0,49096,0,39.2,
Travis (Austin),2017,25-30 (Young Adults),61164,39.6,100.0,61164,0,39.6,
Travis (Austin),2018,25-30 (Young Adults),47246,43.1,100.0,47246,0,43.1,
Travis (Austin),2019,25-30 (Young Adults),64589,39.5,100.0,64589,0,39.5,
Travis (Austin),2021,25-30 (Young Adults),57439,33.8,22.8,13119,44320,36.1,33.1
Travis (Austin),2022,25-30 (Young Adults),55486,35.7,27.4,15206,40280,50.4,30.1
Travis (Austin),2023,25-30 (Young Adults),53032,39.2,25.6,13576,39456,50.9,35.2
Travis (Austin),2012,31-40 (Established Career),44169,35.0,100.0,44169,0,35.0,
Travis (Austin),2013,31-40 (Established Career),41499,44.2,100.0,41499,0,44.2,
Travis (Austin),2014,31-40 (Established Career),50195,37.8,100.0,50195,0,37.8,
Travis (Austin),2015,31-40 (Established Career),42164,31.9,100.0,42164,0,31.9,
Travis (Austin),2016,31-40 (Established Career),37279,35.1,100.0,37279,0,35.1,
Travis (Austin),2017,31-40 (Established Career),45552,38.3,100.0,45552,0,38.3,
Travis (Austin),2018,31-40 (Established Career),47846,30.5,100.0,47846,0,30.5,
Travis (Austin),2019,31-40 (Established Career),52770,30.8,100.0,52770,0,30.8,
Travis (Austin),2021,31-40 (Established Career),58857,27.6,32.1,18908,39949,32.1,25.4
Travis (Austin),2022,31-40 (Established Career),53172,31.3,31.0,16503,36669,40.7,27.1
Travis (Austin),2023,31-40 (Established Career),58548,33.0,31.4,18386,40162,42.2,28.7
Travis (Austin),2012,41-50 (Family / Peak Career),23666,39.4,100.0,23666,0,39.4,
Travis (Austin),2013,41-50 (Family / Peak Career),23106,41.3,100.0,23106,0,41.3,
Travis (Austin),2014,41-50 (Family / Peak Career),19652,38.3,100.0,19652,0,38.3,
Travis (Austin),2015,41-50 (Family / Peak Career),23566,36.6,100.0,23566,0,36.6,
Travis (Austin),2016,41-50 (Family / Peak Career),19048,40.9,100.0,19048,0,40.9,
Travis (Austin),2017,41-50 (Family / Peak Career),25595,38.2,100.0,25595,0,38.2,
Travis (Austin),2018,41-50 (Family / Peak Career),25348,30.2,100.0,25348,0,30.2,
Travis (Austin),2019,41-50 (Family / Peak Career),20836,37.8,100.0,20836,0,37.8,
Travis (Austin),2021,41-50 (Family / Peak Career),22603,33.0,28.0,6333,16270,47.9,27.2
Travis (Austin),2022,41-50 (Family / Peak Career),21098,35.5,32.6,6888,14210,50.0,28.4
Travis (Austin),2023,41-50 (Family / Peak Career),19541,32.1,32.6,6380,13161,37.6,29.5
Travis (Austin),2012,51-64 (Pre-Retirement),19184,53.5,100.0,19184,0,53.5,
Travis (Austin),2013,51-64 (Pre-Retirement),20075,30.9,100.0,20075,0,30.9,
Travis (Austin),2014,51-64 (Pre-Retirement),17018,42.4,100.0,17018,0,42.4,
Travis (Austin),2015,51-64 (Pre-Retirement),18323,34.6,100.0,18323,0,34.6,
Travis (Austin),2016,51-64 (Pre-Retirement),14980,44.3,100.0,14980,0,44.3,
Travis (Austin),2017,51-64 (Pre-Retirement),20559,27.9,100.0,20559,0,27.9,
Travis (Austin),2018,51-64 (Pre-Retirement),16914,36.5,100.0,16914,0,36.5,
Travis (Austin),2019,51-64 (Pre-Retirement),19601,32.1,100.0,19601,0,32.1,
Travis (Austin),2021,51-64 (Pre-Retirement),16506,25.1,19.3,3184,13322,9.1,28.9
Travis (Austin),2022,51-64 (Pre-Retirement),14290,36.0,15.0,2144,12146,48.0,33.9
Travis (Austin),2023,51-64 (Pre-Retirement),15801,37.8,31.7,5013,10788,49.2,32.5
Travis (Austin),2012,65+ (Retirement),6010,32.9,100.0,6010,0,32.9,
Travis (Austin),2013,65+ (Retirement),7566,34.1,100.0,7566,0,34.1,
Travis (Austin),2014,65+ (Retirement),6186,56.2,100.0,6186,0,56.2,
Travis (Austin),2015,65+ (Retirement),7390,27.1,100.0,7390,0,27.1,
Travis (Austin),2016,65+ (Retirement),7554,32.9,100.0,7554,0,32.9,
Travis (Austin),2017,65+ (Retirement),6867,38.1,100.0,6867,0,38.1,
Travis (Austin),2018,65+ (Retirement),10297,37.3,100.0,10297,0,37.3,
Travis (Austin),2019,65+ (Retirement),7161,46.5,100.0,7161,0,46.5,
Travis (Austin),2021,65+ (Retirement),10310,40.8,11.1,1145,9165,82.8,35.6
Travis (Austin),2022,65+ (Retirement),9665,30.8,20.8,2010,7655,54.1,24.7
Travis (Austin),2023,65+ (Retirement),7665,40.8,24.0,1840,5825,72.9,30.7
