County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas_overall,Pct_hispanic_among_movers,N_hispanic_movers_weighted,N_nonhispanic_movers_weighted,Pct_born_in_Texas_among_hispanic,Pct_born_in_Texas_among_nonhispanic
Dallas,2015,18-24 (College / Entry),61732,52.2,100.0,61732,0,52.2,
Dallas,2016,18-24 (College / Entry),58812,52.6,100.0,58812,0,52.6,
Dallas,2017,18-24 (College / Entry),57796,49.3,100.0,57796,0,49.3,
Dallas,2018,18-24 (College / Entry),55982,50.6,100.0,55982,0,50.6,
Dallas,2019,18-24 (College / Entry),53521,52.6,100.0,53521,0,52.6,
Dallas,2021,18-24 (College / Entry),53980,49.9,36.6,19744,34236,53.7,47.7
Dallas,2022,18-24 (College / Entry),64699,48.4,35.7,23079,41620,59.0,42.6
Dallas,2023,18-24 (College / Entry),59356,50.1,40.3,23905,35451,50.4,49.9
Dallas,2012,25-30 (Young Adults),70616,44.8,100.0,70616,0,44.8,
Dallas,2013,25-30 (Young Adults),73537,48.3,100.0,73537,0,48.3,
Dallas,2014,25-30 (Young Adults),80470,44.1,100.0,80470,0,44.1,
Dallas,2015,25-30 (Young Adults),73648,42.6,100.0,73648,0,42.6,
Dallas,2016,25-30 (Young Adults),78459,43.4,100.0,78459,0,43.4,
Dallas,2017,25-30 (Young Adults),76809,44.4,100.0,76809,0,44.4,
Dallas,2018,25-30 (Young Adults),77966,46.1,100.0,77966,0,46.1,
Dallas,2019,25-30 (Young Adults),78108,44.4,100.0,78108,0,44.4,
Dallas,2021,25-30 (Young Adults),68324,41.5,32.6,22286,46038,42.1,41.2
Dallas,2022,25-30 (Young Adults),73701,43.1,30.4,22379,51322,36.7,45.8
Dallas,2023,25-30 (Young Adults),72567,40.6,34.1,24723,47844,35.5,43.2
Dallas,2012,31-40 (Established Career),65359,41.9,100.0,65359,0,41.9,
Dallas,2013,31-40 (Established Career),74827,36.8,100.0,74827,0,36.8,
Dallas,2014,31-40 (Established Career),78840,39.0,100.0,78840,0,39.0,
Dallas,2015,31-40 (Established Career),72736,38.7,100.0,72736,0,38.7,
Dallas,2016,31-40 (Established Career),74898,35.1,100.0,74898,0,35.1,
Dallas,2017,31-40 (Established Career),71163,33.6,100.0,71163,0,33.6,
Dallas,2018,31-40 (Established Career),67084,37.1,100.0,67084,0,37.1,
Dallas,2019,31-40 (Established Career),71456,37.1,100.0,71456,0,37.1,
Dallas,2021,31-40 (Established Career),66009,34.6,28.6,18873,47136,28.5,37.1
Dallas,2022,31-40 (Established Career),75258,40.3,34.9,26293,48965,30.5,45.6
Dallas,2023,31-40 (Established Career),75071,32.9,34.5,25897,49174,26.0,36.6
Dallas,2012,41-50 (Family / Peak Career),47762,41.4,100.0,47762,0,41.4,
Dallas,2013,41-50 (Family / Peak Career),46565,39.0,100.0,46565,0,39.0,
